Assembly_Num,Id,Party,Speaker_Type,Primary_Role,Speech_Count,Total_Chars,First_Speech_Date,Keyword_Total,Boundary_Per_1k_Chars
제2대,이한창,자유당,의원,의원,6,14286,1952-02-27,0,0.0
제2대,유홍,미상/직책자,정부/기타 직책자,의원,1,6,1950-06-19,0,0.0
제2대,김상덕,미상/직책자,정부/기타 직책자,의원,1,6,1950-11-22,0,0.0
제2대,전규홍,미상/직책자,정부/기타 직책자,총무처장,1,882,1951-04-28,0,0.0
제2대,김택천,무소속,의원,의원,1,6,1950-11-25,0,0.0
제2대,고병간,미상/직책자,정부/기타 직책자,문교부차관,2,4204,1952-04-17,0,0.0
제2대,노진설,미상/직책자,정부/기타 직책자,감찰위원장,5,10839,1951-04-28,0,0.0
제2대,오하영,무소속,의원,임시의장,22,4359,1950-06-19,0,0.0
제2대,노용호,미상/직책자,정부/기타 직책자,법원행정처장,1,3174,1950-11-25,0,0.0
제2대,김용무,민주국민당,의원,의원,2,1788,1950-06-20,0,0.0
제2대,조봉안,미상/직책자,정부/기타 직책자,부의장,3,56,1952-07-18,0,0.0
제2대,홍익표,무소속,의원,운영위원장,11,3992,1953-07-25,0,0.0
제2대,최재우,미상/직책자,정부/기타 직책자,보건부장관,1,940,1953-10-08,0,0.0
제2대,이호진,미상/직책자,정부/기타 직책자,의사국장대리,2,1988,1953-04-20,0,0.0
제2대,조봉임,미상/직책자,정부/기타 직책자,부의장,1,299,1952-10-30,0,0.0
제2대,노랜드,미상/직책자,정부/기타 직책자,의원,1,2073,1953-08-29,0,0.0
제2대,연병호,대한국민당,의원,의원,1,6,1951-01-31,0,0.0
제2대,김종희,미상/직책자,정부/기타 직책자,의원,1,732,1951-05-08,0,0.0
제2대,이종수,무소속,의원,의원,2,37,1950-12-11,0,0.0
제2대,공진항,미상/직책자,정부/기타 직책자,농림부장관,9,9814,1950-12-13,0,0.0
제2대,심익희,미상/직책자,정부/기타 직책자,의장,1,13,1952-07-28,0,0.0
제2대,도마스,미상/직책자,정부/기타 직책자,미국뉴욕주지사,1,1667,1951-07-08,0,0.0
제2대,김윤근,미상/직책자,정부/기타 직책자,법무부차관,13,11854,1950-11-25,0,0.0
제2대,이호근,대한청년단,의원,의원,1,299,1953-07-01,0,0.0
제2대,최석주,미상/직책자,정부/기타 직책자,공보처차장,1,392,1953-04-29,0,0.0
제2대,민복기,미상/직책자,정부/기타 직책자,법무부차관,5,11181,1952-03-08,0,0.0
제2대,김명동,대한국민당,의원,의원,8,2292,1950-11-02,0,0.0
제2대,변집갑,미상/직책자,정부/기타 직책자,의원,1,854,1951-12-07,0,0.0
제2대,박충식,무소속,의원,의원,1,6,1950-11-18,0,0.0
제2대,신각휴,민주국민당,의원,의원,2,15647,1950-11-24,0,0.0
제2대,고영완,민주국민당,의원,의원,17,16378,1950-06-20,0,0.0
제2대,남봉순,미상/직책자,정부/기타 직책자,농림부차관,1,171,1954-02-25,0,0.0
제2대,서상국,민주국민당,의원,의원,2,12,1950-11-25,0,0.0
제2대,장기영,미상/직책자,정부/기타 직책자,체신부장관,5,2361,1951-04-17,0,0.0
제2대,류테리오,미상/직책자,정부/기타 직책자,의장,1,4271,1952-01-18,0,0.0
제2대,코디어,미상/직책자,정부/기타 직책자,유엔사무차장,1,4178,1952-03-25,0,0.0
제2대,홍진기,미상/직책자,정부/기타 직책자,법무부차관,3,627,1954-03-03,0,0.0
제2대,김준희,대한독립촉성국민회,의원,의원,9,6050,1951-07-06,0,0.0
제2대,서상권,미상/직책자,정부/기타 직책자,법무부장관,3,1563,1952-06-21,0,0.0
제2대,강성태,미상/직책자,정부/기타 직책자,재무부차관,14,19685,1953-09-23,0,0.0
제2대,조헌영,무소속,의원,의원,2,1129,1950-06-20,0,0.0
제2대,싱익희,미상/직책자,정부/기타 직책자,의장,1,30,1952-03-10,0,0.0
제2대,류덕천,미상/직책자,정부/기타 직책자,의원,2,6260,1954-03-02,0,0.0
제2대,박정규,대한독립촉성국민회,의원,의원,2,2632,1950-12-16,0,0.0
제2대,윤인상,미상/직책자,정부/기타 직책자,상공부차관,2,3553,1953-11-17,0,0.0
제2대,양성봉,미상/직책자,정부/기타 직책자,농림부장관,3,2404,1953-10-20,0,0.0
제2대,서상환,미상/직책자,정부/기타 직책자,법무부장관,24,42081,1952-03-24,0,0.0
제2대,유완창,미상/직책자,정부/기타 직책자,관재청장,2,3253,1950-11-18,0,0.0
제2대,한홍,미상/직책자,정부/기타 직책자,외자관리청차장,1,1322,1952-04-17,0,0.0
제2대,정운갑,미상/직책자,정부/기타 직책자,총무처장,1,168,1953-11-24,0,0.0
제2대,신흥균,미상/직책자,정부/기타 직책자,의원,1,315,1953-08-28,0,0.0
제2대,김익노,무소속,의원,의원,2,905,1951-12-07,0,0.0
제2대,김웅진,대한국민당,의원,의원,1,1110,1950-06-20,0,0.0
제2대,관상훈,미상/직책자,정부/기타 직책자,의원,1,31,1952-09-10,0,0.0
제2대,민의원,미상/직책자,정부/기타 직책자,의장,2,1941,1952-12-19,0,0.0
제2대,김형근,미상/직책자,정부/기타 직책자,내무부차관,2,2216,1954-02-24,0,0.0
제2대,조정환,미상/직책자,정부/기타 직책자,외무부차관,14,12806,1951-02-03,0,0.0
제2대,신익히,미상/직책자,정부/기타 직책자,의장,1,68,1952-08-29,0,0.0
제2대,정운근,미상/직책자,정부/기타 직책자,사무차장,2,987,1951-07-02,0,0.0
제2대,정준용,미상/직책자,정부/기타 직책자,보건부차관,2,2052,1953-11-12,0,0.0
제2대,김태선,미상/직책자,정부/기타 직책자,내무부장관,13,7647,1952-08-20,0,0.0
제2대,김종렬,미상/직책자,정부/기타 직책자,의원,1,644,1950-11-15,0,0.0
제2대,운치영,미상/직책자,정부/기타 직책자,부의장,1,29,1953-05-04,0,0.0
제2대,박양재,무소속,의원,의원,1,3890,1951-12-24,0,0.0
제2대,김의창,미상/직책자,정부/기타 직책자,체신부차관,1,1142,1952-11-26,0,0.0
제2대,이호,미상/직책자,정부/기타 직책자,국방부차관,3,703,1954-03-31,0,0.0
제2대,박현숙,미상/직책자,정부/기타 직책자,무임소장관,1,269,1952-10-17,0,0.0
제2대,최주일,대한청년단,의원,의원,10,5721,1952-02-14,0,0.0
제2대,김경배,대한국민당,의원,의원,2,165,1950-06-20,0,0.0
제2대,구영숙,미상/직책자,정부/기타 직책자,보건부장관,3,8244,1950-11-18,0,0.0
제2대,한희석,미상/직책자,정부/기타 직책자,내무부차관,2,2804,1953-10-19,0,0.0
제2대,황호연,미상/직책자,정부/기타 직책자,내무부차관,1,8258,1953-04-04,0,0.0
제2대,김문용,자유당,의원,의원,4,5299,1952-02-21,0,0.0
제2대,최원봉,무소속,의원,의원,2,3884,1950-06-20,0,0.0
제2대,오한영,미상/직책자,정부/기타 직책자,보건부장관,1,1372,1951-07-14,0,0.0
제2대,허남수,미상/직책자,정부/기타 직책자,의사국장,22,1676,1950-06-19,0,0.0
제2대,변광호,민주국민당,의원,의원,15,30076,1950-11-01,0,0.0
제2대,대리,미상/직책자,정부/기타 직책자,법제사법위원장,3,2807,1950-11-23,0,0.0
제2대,김준연,미상/직책자,정부/기타 직책자,법무부장관,2,3962,1950-12-25,0,0.0
제2대,김병로,미상/직책자,정부/기타 직책자,대법원장,10,29170,1951-05-21,0,0.0
제2대,한동석,미상/직책자,정부/기타 직책자,총무처장,1,425,1951-11-15,0,0.0
제2대,최병주,무소속,의원,의원,2,1909,1950-06-20,0,0.0
제2대,백락준,미상/직책자,정부/기타 직책자,문교부장관,2,3227,1951-12-07,0,0.0
제2대,장흥,미상/직책자,정부/기타 직책자,병무국장,1,1231,1953-09-28,0,0.0
제2대,조병옥,미상/직책자,정부/기타 직책자,내무부장관,2,5460,1950-12-16,0,0.0
제2대,김택술,대한노동총연맹,의원,의원,1,1337,1951-07-28,0,0.0
제2대,최순주,미상/직책자,정부/기타 직책자,재무부장관,9,18601,1950-11-06,0,0.0
제2대,조희현,미상/직책자,정부/기타 직책자,재무부차관,1,1728,1952-04-17,0,0.0
제2대,권병로,미상/직책자,정부/기타 직책자,의원,1,1464,1951-10-15,0,0.0
제2대,이규갑,대한국민당,의원,의원,35,10446,1951-01-20,0,0.0
제2대,정문흠,무소속,의원,의원,14,5401,1951-02-27,0,0.0
제2대,이종림,미상/직책자,정부/기타 직책자,교통부장관,1,570,1954-02-17,0,0.0
제2대,정진욱,미상/직책자,정부/기타 직책자,보건부차관,1,195,1954-03-31,0,0.0
제2대,이학림,무소속,의원,의원,2,3700,1951-02-02,0,0.0
제2대,허증수,미상/직책자,정부/기타 직책자,문교부차관,3,703,1952-12-05,0,0.0
제2대,유덕천,무소속,의원,의원,1,6796,1951-04-26,0,0.0
제2대,인태식,미상/직책자,정부/기타 직책자,관재청장,2,773,1953-09-30,0,0.0
제3대,박영종,자유당,의원,의원,1642,2498518,1954-06-10,698,0.089
제3대,박만원,자유당,의원,재정경제위원장,568,378686,1954-06-10,453,0.137
제3대,이철승,무소속,의원,위원,680,789421,1954-06-22,286,0.084
제3대,이재학,자유당,의원,부의장,1741,327800,1954-06-18,284,0.043
제3대,김영선,자유당,의원,위원,196,364304,1955-03-31,255,0.044
제3대,조경규,자유당,의원,부의장,6897,1634099,1954-07-08,224,0.051
제3대,이충환,자유당,의원,위원장,2748,1230770,1954-06-10,198,0.068
제3대,서상준,미상/직책자,정부/기타 직책자,의사국장,504,883798,1954-06-11,184,0.042
