Assembly_Num,Session_No,Party,Technology,Income,Labor,Immigration,Migration,Foreigner,Total_Chars,Speech_Count,Distinct_Speakers,Start_Date,Dev,Bnd,Technology_1k,Income_1k,Labor_1k,Immigration_1k,Migration_1k,Foreigner_1k,Id
제헌,4,대동청년당,2,0,23,1,0,0,10576,25,6,1949-07-02,25,1,0.18910741301059003,0.0,2.174735249621785,0.09455370650529502,0.0,0.0,제헌-S004|대동청년당
제헌,5,교육협회,0,0,0,0,0,0,20316,33,1,1949-09-20,0,0,0.0,0.0,0.0,0.0,0.0,0.0,제헌-S005|교육협회
제헌,5,무소속,144,18,107,24,51,26,731010,1234,65,1949-09-19,269,101,0.19698772930602865,0.02462346616325358,0.1463728266371185,0.032831288217671444,0.0697664874625518,0.0355672289024774,제헌-S005|무소속
제헌,5,대한독립촉성국민회,53,14,48,10,31,19,434599,1059,41,1949-09-12,115,60,0.12195150011850003,0.0322136038048868,0.11044664161675476,0.02300971700349057,0.07133012271082077,0.04371846230663209,제헌-S005|대한독립촉성국민회
제헌,5,조선민족청년단,13,0,2,1,2,0,42378,32,2,1949-09-20,15,3,0.30676294303648116,0.0,0.04719429892868941,0.023597149464344706,0.04719429892868941,0.0,제헌-S005|조선민족청년단
제헌,5,민족통일본부,0,0,0,0,0,0,2346,1,1,1949-10-29,0,0,0.0,0.0,0.0,0.0,0.0,0.0,제헌-S005|민족통일본부
제헌,5,단민당,0,0,0,0,0,0,2902,7,1,1949-10-08,0,0,0.0,0.0,0.0,0.0,0.0,0.0,제헌-S005|단민당
제헌,5,한국민주당,84,35,93,22,51,34,959702,2507,27,1949-09-12,212,107,0.08752716989232075,0.03646965412180031,0.09690508095221226,0.022923782590845907,0.05314149600605188,0.03542766400403459,제헌-S005|한국민주당
제헌,5,민주국민당,2,0,0,0,2,0,7146,3,1,1949-09-26,2,2,0.279876854184159,0.0,0.0,0.0,0.279876854184159,0.0,제헌-S005|민주국민당
제헌,5,전도회,0,0,0,0,0,0,2991,20,1,1949-09-19,0,0,0.0,0.0,0.0,0.0,0.0,0.0,제헌-S005|전도회
제헌,5,대한여자국민당,2,0,7,1,0,1,13887,26,1,1949-09-26,9,2,0.14401958666378628,0.0,0.504068553323252,0.07200979333189314,0.0,0.07200979333189314,제헌-S005|대한여자국민당
제헌,5,한국독립당,0,0,0,0,0,0,2906,14,1,1949-09-22,0,0,0.0,0.0,0.0,0.0,0.0,0.0,제헌-S005|한국독립당
제헌,5,대동청년당,3,0,12,2,0,0,38522,80,8,1949-09-24,15,2,0.07787757644982089,0.0,0.31151030579928357,0.05191838429988059,0.0,0.0,제헌-S005|대동청년당
제헌,5,대한노동총연맹,0,0,36,2,0,0,8817,5,1,1949-10-24,36,2,0.0,0.0,4.083021435862538,0.22683452421458544,0.0,0.0,제헌-S005|대한노동총연맹
제헌,6,민주국민당,0,0,0,0,0,0,18446,7,1,1950-02-10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,제헌-S006|민주국민당
제헌,6,전도회,0,0,0,3,0,0,13753,41,1,1950-01-14,0,3,0.0,0.0,0.0,0.21813422525994328,0.0,0.0,제헌-S006|전도회
제헌,6,무소속,89,13,13,77,46,7,1223878,1946,61,1949-12-21,115,130,0.07271966650270696,0.010621973758822366,0.010621973758822366,0.06291476764840939,0.03758544560814068,0.005719524331673582,제헌-S006|무소속
제헌,6,대한여자국민당,0,0,0,5,1,0,16728,39,1,1950-01-16,0,6,0.0,0.0,0.0,0.29890004782400764,0.059780009564801534,0.0,제헌-S006|대한여자국민당
제헌,6,조선민주당,0,0,0,3,0,0,9965,3,1,1950-02-20,0,3,0.0,0.0,0.0,0.30105368790767684,0.0,0.0,제헌-S006|조선민주당
제헌,6,한국민주당,33,102,14,42,56,3,1029596,2600,24,1949-12-21,149,101,0.0320514065711211,0.09906798394710158,0.013597566424111982,0.04079269927233594,0.05439026569644793,0.0029137642337382814,제헌-S006|한국민주당
제헌,6,교육협회,0,0,0,0,2,0,16448,17,1,1950-01-12,0,2,0.0,0.0,0.0,0.0,0.12159533073929961,0.0,제헌-S006|교육협회
제헌,6,대동청년당,0,0,8,2,2,1,44001,69,8,1949-12-21,8,5,0.0,0.0,0.18181404968068907,0.045453512420172267,0.045453512420172267,0.022726756210086133,제헌-S006|대동청년당
제헌,6,대한독립촉성국민회,145,2,16,24,25,5,632186,1383,38,1949-12-21,163,54,0.22936287738102396,0.003163625894910675,0.0253090071592854,0.0379635107389281,0.039545323686383436,0.007909064737276688,제헌-S006|대한독립촉성국민회
제헌,6,조선민족청년단,7,0,0,1,3,0,75735,88,3,1950-01-13,7,4,0.09242754340793556,0.0,0.0,0.013203934772562225,0.03961180431768667,0.0,제헌-S006|조선민족청년단
제헌,6,단민당,0,0,1,1,5,0,22603,28,1,1949-12-21,1,6,0.0,0.0,0.04424191479007211,0.04424191479007211,0.22120957395036056,0.0,제헌-S006|단민당
