Assembly_Num,Speaker,Party,Speaker_Type,Primary_Role,Role_Groups,Speaker_Source,Speech_Count,Total_Chars,Share_of_Chars,Active_Sessions,First_Speech_Date,Last_Speech_Date,Technology,Income,Labor,Immigration,Migration,Foreigner,Discourse_Development,Discourse_Boundary,Keyword_Total,Development_Per_1k_Chars,Boundary_Per_1k_Chars,Keyword_Per_1k_Chars
제2대,이시목,무소속,의원,의원,의원,member,7,13723,0.00067,4,1951-09-03,1953-12-29,0,0,1,0,1,0,1,1,2,0.073,0.073,0.146
제2대,이범승,무소속,의원,의원,의원,member,22,21820,0.00106,4,1952-02-14,1953-10-19,0,0,2,0,0,0,2,0,2,0.092,0.0,0.092
제2대,조정훈,무소속,의원,의원,의원,member,4,14254,0.00069,4,1950-12-15,1952-05-14,1,0,0,0,1,0,1,1,2,0.07,0.07,0.14
제2대,업상섭,미상/직책자,정부/기타 직책자,법제사법위원장대리,위원장; 의원,learned,6,3389,0.00016,3,1951-05-15,1953-07-03,0,0,0,2,0,0,0,2,2,0.0,0.59,0.59
제2대,함덕용,미상/직책자,정부/기타 직책자,상공부차관,국무위원,fallback,1,3485,0.00017,1,1952-11-07,1952-11-07,1,1,0,0,0,0,2,0,2,0.574,0.0,0.574
제2대,이병호,미상/직책자,정부/기타 직책자,상공부차관,국무위원,learned,18,18410,0.00089,2,1951-10-05,1952-05-23,1,0,0,0,0,0,1,0,1,0.054,0.0,0.054
제2대,김석명,미상/직책자,정부/기타 직책자,교통부차관,국무위원,learned,14,8376,0.00041,3,1951-08-04,1952-07-16,0,0,0,1,0,0,0,1,1,0.0,0.119,0.119
제2대,진헌식,미상/직책자,정부/기타 직책자,내무부장관,국무위원,member,6,9176,0.00045,3,1952-09-03,1953-04-24,0,0,1,0,0,0,1,0,1,0.109,0.0,0.109
제2대,김인선,애국단체연합회,의원,의원,의원,member,17,16160,0.00078,4,1951-02-14,1953-07-13,1,0,0,0,0,0,1,0,1,0.062,0.0,0.062
제2대,이순용,미상/직책자,정부/기타 직책자,내무부장관,국무위원,learned,14,14420,0.0007,2,1951-05-19,1951-10-15,1,0,0,0,0,0,1,0,1,0.069,0.0,0.069
제2대,서장주,무소속,의원,의원,의원,member,2,3506,0.00017,1,1951-03-28,1951-03-28,0,0,0,1,0,0,0,1,1,0.0,0.285,0.285
제2대,이종영,대한독립촉성국민회,의원,의원,의원,member,21,16483,0.0008,5,1950-06-20,1952-07-04,0,0,0,1,0,0,0,1,1,0.0,0.061,0.061
제2대,강창용,무소속,의원,의원,의원,member,16,16085,0.00078,7,1950-11-04,1953-07-23,1,0,0,0,0,0,1,0,1,0.062,0.0,0.062
제2대,조대연,무소속,의원,의원,의원,member,6,13858,0.00067,4,1950-10-31,1953-05-25,0,0,1,0,0,0,1,0,1,0.072,0.0,0.072
제2대,여영복,무소속,의원,의원,의원,member,8,3219,0.00016,4,1950-11-24,1953-04-10,0,0,0,0,1,0,0,1,1,0.0,0.311,0.311
제2대,이종순,무소속,의원,의원,의원,member,11,8028,0.00039,6,1950-11-25,1953-10-20,0,0,1,0,0,0,1,0,1,0.125,0.0,0.125
제2대,최원수,무소속,의원,의원,의원,member,8,7784,0.00038,4,1953-04-10,1954-03-26,1,0,0,0,0,0,1,0,1,0.128,0.0,0.128
제2대,성득환,민주국민당,의원,의원,의원,member,8,2629,0.00013,2,1950-11-03,1951-03-19,0,1,0,0,0,0,1,0,1,0.38,0.0,0.38
제2대,갈홍기,미상/직책자,정부/기타 직책자,외무부차관,국무위원; 기타,learned,3,3094,0.00015,2,1952-08-29,1953-03-30,0,0,0,1,0,0,0,1,1,0.0,0.323,0.323
제2대,미국상원,미상/직책자,정부/기타 직책자,의원,의원,fallback,2,3883,0.00019,2,1951-12-06,1952-11-24,0,1,0,0,0,0,1,0,1,0.258,0.0,0.258
제2대,이수선,미상/직책자,정부/기타 직책자,사무총장,사무처,learned,6,2685,0.00013,1,1950-06-19,1950-06-19,0,0,0,1,0,0,0,1,1,0.0,0.372,0.372
제2대,한필수,무소속,의원,의원,위원장; 의원,member,8,8632,0.00042,5,1951-03-23,1952-10-27,0,0,1,0,0,0,1,0,1,0.116,0.0,0.116
제2대,안동혁,미상/직책자,정부/기타 직책자,상공부장관,국무위원,learned,12,26720,0.0013,3,1953-10-14,1954-02-23,1,0,0,0,0,0,1,0,1,0.037,0.0,0.037
제2대,이판열,민주국민당,의원,의원,의원,member,4,6016,0.00029,1,1950-11-08,1950-11-23,0,1,0,0,0,0,1,0,1,0.166,0.0,0.166
