Month,전체,발전,경계,발전+경계,미분류,Date,발전_전체대비비중,경계_전체대비비중,발전+경계_전체대비비중
1956-01,4490,556.0,15.0,14.0,3905,1956-01-01,12.383073496659243,0.33407572383073497,0.311804008908686
1956-02,9872,740.0,35.0,18.0,9079,1956-02-01,7.4959481361426255,0.3545380875202593,0.18233387358184766
1956-03,2436,83.0,11.0,2.0,2340,1956-03-01,3.407224958949097,0.45155993431855496,0.08210180623973727
1956-04,746,11.0,6.0,2.0,727,1956-04-01,1.4745308310991956,0.8042895442359249,0.2680965147453083
1956-05,1462,128.0,3.0,6.0,1325,1956-05-01,8.755129958960328,0.2051983584131327,0.4103967168262654
1956-06,5078,445.0,26.0,7.0,4600,1956-06-01,8.763292634895627,0.5120126033871603,0.13784954706577393
1956-07,7959,1441.0,37.0,50.0,6431,1956-07-01,18.105289609247393,0.46488252293001636,0.6282196255811031
1956-08,2843,334.0,9.0,12.0,2488,1956-08-01,11.748153359127683,0.31656700668308124,0.4220893422441084
1956-09,1900,57.0,19.0,2.0,1822,1956-09-01,3.0,1.0,0.10526315789473684
1956-10,5969,360.0,28.0,14.0,5567,1956-10-01,6.03116099849221,0.46909029988272744,0.23454514994136372
1956-11,2265,162.0,37.0,10.0,2056,1956-11-01,7.152317880794702,1.6335540838852098,0.44150110375275936
1956-12,16435,1722.0,41.0,76.0,14596,1956-12-01,10.477639184666868,0.24946759963492549,0.46242774566473993
1957-01,4841,256.0,21.0,12.0,4552,1957-01-01,5.288163602561454,0.43379467052261933,0.24788266887006816
1957-02,2726,148.0,12.0,7.0,2559,1957-02-01,5.429200293470286,0.4402054292002935,0.25678650036683787
1957-03,2400,400.0,8.0,18.0,1974,1957-03-01,16.666666666666664,0.33333333333333337,0.75
1957-04,4793,184.0,44.0,21.0,4544,1957-04-01,3.8389317755059458,0.918005424577509,0.4381389526392656
1957-05,2313,68.0,13.0,1.0,2231,1957-05-01,2.939904885430177,0.5620406398616515,0.043233895373973194
1957-06,4665,332.0,21.0,27.0,4285,1957-06-01,7.116827438370847,0.45016077170418006,0.5787781350482315
1957-07,5257,469.0,39.0,29.0,4720,1957-07-01,8.921438082556591,0.7418679855430854,0.5516454251474224
1957-08,3472,169.0,34.0,20.0,3249,1957-08-01,4.8675115207373265,0.9792626728110598,0.5760368663594471
1957-09,2807,266.0,11.0,19.0,2511,1957-09-01,9.476309226932669,0.3918774492340577,0.6768792304951906
1957-10,3561,216.0,31.0,34.0,3280,1957-10-01,6.065711878685763,0.8705419825891604,0.9547879809042404
1957-11,5153,364.0,28.0,20.0,4741,1957-11-01,7.063846303124394,0.5433727925480303,0.38812342324859306
1957-12,9762,1951.0,51.0,85.0,7675,1957-12-01,19.985658676500716,0.5224339274738783,0.8707232124564639
1958-01,3390,65.0,9.0,1.0,3315,1958-01-01,1.9174041297935103,0.2654867256637168,0.029498525073746312
1958-02,4014,378.0,13.0,20.0,3603,1958-02-01,9.417040358744394,0.32386646736422525,0.4982561036372696
1958-03,233,3.0,0.0,0.0,230,1958-03-01,1.2875536480686696,0.0,0.0
1958-04,1701,35.0,8.0,3.0,1655,1958-04-01,2.05761316872428,0.4703115814226925,0.1763668430335097
1958-05,64,1.0,0.0,0.0,63,1958-05-01,1.5625,0.0,0.0
1958-06,3501,217.0,15.0,13.0,3256,1958-06-01,6.198229077406455,0.42844901456726653,0.371322479291631
1958-07,14778,2528.0,144.0,142.0,11964,1958-07-01,17.106509676546217,0.9744214372716199,0.960887806198403
1958-08,12585,1577.0,75.0,75.0,10858,1958-08-01,12.530790623758442,0.5959475566150179,0.5959475566150179
1958-09,1522,150.0,4.0,7.0,1361,1958-09-01,9.85545335085414,0.2628120893561104,0.45992115637319314
1958-10,6518,690.0,45.0,32.0,5751,1958-10-01,10.586069346425283,0.6903958269407794,0.490948143602332
1958-11,10850,2261.0,65.0,155.0,8369,1958-11-01,20.838709677419352,0.599078341013825,1.4285714285714286
1958-12,13212,1500.0,69.0,91.0,11552,1958-12-01,11.353315168029065,0.5222524977293369,0.6887677868604298
1959-01,31,0.0,0.0,0.0,31,1959-01-01,0.0,0.0,0.0
1959-02,3374,98.0,27.0,12.0,3237,1959-02-01,2.904564315352697,0.8002371072910491,0.35566093657379966
1959-03,2907,205.0,10.0,13.0,2679,1959-03-01,7.051943584451324,0.3439972480220158,0.4471964224286206
1959-04,668,47.0,12.0,5.0,604,1959-04-01,7.0359281437125745,1.7964071856287425,0.7485029940119761
1959-05,3303,280.0,27.0,24.0,2972,1959-05-01,8.477141992128367,0.8174386920980926,0.7266121707538601
1959-06,5866,751.0,73.0,71.0,4971,1959-06-01,12.802591203545857,1.244459597681555,1.21036481418343
1959-07,4311,240.0,38.0,13.0,4020,1959-07-01,5.567153792623522,0.8814660171653909,0.3015541637671074
1959-09,834,38.0,3.0,3.0,790,1959-09-01,4.556354916067146,0.3597122302158274,0.3597122302158274
1959-10,4090,382.0,27.0,25.0,3656,1959-10-01,9.339853300733497,0.6601466992665036,0.6112469437652812
1959-11,13497,3004.0,65.0,208.0,10220,1959-11-01,22.256797806920055,0.4815885011484033,1.5410832036748907
1959-12,11421,2125.0,54.0,153.0,9089,1959-12-01,18.606076525698274,0.4728132387706856,1.3396375098502757
1960-01,6680,387.0,43.0,17.0,6233,1960-01-01,5.793413173652694,0.6437125748502994,0.25449101796407186
1960-02,161,7.0,1.0,0.0,153,1960-02-01,4.3478260869565215,0.6211180124223602,0.0
1960-03,3793,61.0,25.0,2.0,3705,1960-03-01,1.6082256788821514,0.659108884787767,0.05272871078302136
1960-04,5079,55.0,38.0,5.0,4981,1960-04-01,1.082890332742666,0.7481787753494782,0.09844457570387871
