Assembly_Num,Speaker,직책,Party,지역,소속위원회,당선횟수,기술,소득,노동,이민,이주,외국인,발언횟수,총어절수,기술_회기수,소득_회기수,노동_회기수,이민_회기수,이주_회기수,외국인_회기수,기술_빈도_1만어절당,소득_빈도_1만어절당,노동_빈도_1만어절당,이민_빈도_1만어절당,이주_빈도_1만어절당,외국인_빈도_1만어절당
제헌,이재학,의원,무소속,강원 홍천,"",5선,6,2,9,0,0,0,74,20406,4,1,5,0,0,0,2.94,0.98,4.41,0.0,0.0,0.0
제헌,윤석구,의원,무소속,전북 군산,"",초선,49,0,9,0,0,0,58,6315,3,0,2,0,0,0,77.59,0.0,14.25,0.0,0.0,0.0
제4대,출석,증인,"","","","",0,0,8,0,0,0,14,548,0,0,1,0,0,0,0.0,0.0,145.99,0.0,0.0,0.0
제2대,박영출,사회보건위원장,대한국민당,경북 의성갑,"",재선,5,1,8,1,0,5,90,12851,8,3,4,1,0,3,3.89,0.78,6.23,0.78,0.0,3.89
제4대,김동순,증인,"","","","",0,0,8,0,0,0,30,807,0,0,1,0,0,0,0.0,0.0,99.13,0.0,0.0,0.0
제2대,김정식,의원,대한청년단,경북 영주,"",초선,5,8,8,0,0,2,155,34346,4,3,3,0,0,1,1.46,2.33,2.33,0.0,0.0,0.58
제2대,윤길중,의원,무소속,강원 원주,"",6선,4,1,8,0,0,0,76,27135,7,2,4,0,0,0,1.47,0.37,2.95,0.0,0.0,0.0
제4대,김진만,위원,자유당,강원 삼척군,"",7선,1,9,8,1,0,0,49,5465,1,2,1,1,0,0,1.83,16.47,14.64,1.83,0.0,0.0
제3대,여론화,"","","","","",0,0,8,0,0,0,1,431,0,0,1,0,0,0,0.0,0.0,185.61,0.0,0.0,0.0
제헌,홍성하,재정경제위원장,한국민주당,서울 동대문구갑,"",초선,32,220,8,0,2,1,399,118346,12,18,7,0,5,1,2.7,18.59,0.68,0.0,0.17,0.08
제3대,김도연,의원,민주국민당,서울 서대문구갑,"",6선,5,12,8,0,0,0,67,44969,4,7,3,0,0,0,1.11,2.67,1.78,0.0,0.0,0.0
제2대,김종순,의원,무소속,전남 나주갑,"",초선,10,10,8,0,0,2,146,53401,6,3,3,0,0,1,1.87,1.87,1.5,0.0,0.0,0.37
제헌,조영규,의원,한국민주당,전남 영광,"",4선,8,2,8,0,2,3,243,38878,7,1,3,0,2,2,2.06,0.51,2.06,0.0,0.51,0.77
제3대,김판술,의원,민주국민당,전북 군산,"",3선,6,28,8,0,0,0,44,30806,9,7,7,0,0,0,1.95,9.09,2.6,0.0,0.0,0.0
제헌,곽상훈,의원,무소속,경기 인천갑,"",5선,1,0,8,0,5,1,170,31818,1,0,2,0,2,1,0.31,0.0,2.51,0.0,1.57,0.31
제2대,홍창섭,의원,무소속,강원 춘천,"",4선,18,6,8,0,0,0,98,32899,4,1,3,0,0,0,5.47,1.82,2.43,0.0,0.0,0.0
제2대,조주영,의원,무소속,경남 남해,"",초선,10,4,8,0,0,0,173,63758,3,2,2,0,0,0,1.57,0.63,1.25,0.0,0.0,0.0
제헌,신성균,의원,무소속,전북 전주,"",초선,2,0,7,0,3,0,278,36630,2,0,1,0,1,0,0.55,0.0,1.91,0.0,0.82,0.0
제헌,임영신,의원,대한여자국민당,경북 안동을,"",재선,2,0,7,0,2,1,80,9550,6,0,5,0,2,2,2.09,0.0,7.33,0.0,2.09,1.05
제3대,이영희,의원,자유당,경남 의령군,"",재선,8,4,7,0,0,0,79,40016,4,2,2,0,0,0,2.0,1.0,1.75,0.0,0.0,0.0
제4대,권복인,위원,자유당,충북 옥천군,"",초선,1,2,7,0,0,0,36,8245,1,1,1,0,0,0,1.21,2.43,8.49,0.0,0.0,0.0
제4대,이용범,의원,자유당,경남 창원을,"",재선,0,0,7,0,0,0,3,275,1,0,1,0,0,0,0.0,0.0,254.55,0.0,0.0,0.0
제4대,정한주,증인,"","","","",0,0,7,0,0,0,19,582,0,0,1,0,0,0,0.0,0.0,120.27,0.0,0.0,0.0
